sheet_sub_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,date_time,rt,stimulus,response,experiment
44,,,,,,,,,,,,video-button-response,15,312009,0.0-15.0,58bfee7de5869400018f5e9e,636e2a29b9410d781bec59f3,636e416a52554130951d0af0,,22704,"[""""tsg_comb/TestSeq002_2-GD_v13_000-SG_000-A.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,14,347107,0.0-14.0,5eff07d279c81803541503a8,636e2a29b9410d781bec59f3,636e41673c87fa0197937748,,22113,"[""""tsg_comb/TestSeq005_3-GD_v13_000-GT-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,16,334681,0.0-16.0,58bfee7de5869400018f5e9e,636e2a29b9410d781bec59f3,636e416a52554130951d0af0,,22624,"[""""tsg_comb/TestSeq003_1-GDDW_000-GT-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,8,165889,0.0-8.0,5e9027110aacc7320bd9a84b,636e2a29b9410d781bec59f3,636e416f23b1f407cdc8db55,,21244,"[""""attn/attention1.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,15,352978,0.0-15.0,60cce9e5db3f76eabb186870,636e2a29b9410d781bec59f3,636e416e7a3f7d942d689ac9,,21969,"[""""tsg_comb/TestSeq002_4-GD_v13_000-GT-A.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,13,342105,0.0-13.0,5eaaee8903ea9906ba49f7db,636e2a29b9410d781bec59f3,636e416a0d3847fed9af90ec,,26870,"[""""tsg_comb/TestSeq002_4-GDDW_000-GD_v13_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,12,358671,0.0-12.0,62da634e06750be929c61f75,636e2a29b9410d781bec59f3,636e41696c9c80c7fc78b253,,22192,"[""""tsg_comb/TestSeq004_3-GD_v13_000-SG_000-B.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,14,277827,0.0-14.0,5fbf94f2891c55203896f7dc,636e2a29b9410d781bec59f3,636e4168ae435f0ae678b20f,,22335,"[""""tsg_comb/TestSeq003_5-GD_v13_000-SG_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,13,356710,0.0-13.0,60ec003195a012028e8b2879,636e2a29b9410d781bec59f3,636e416d1b79dcbbb29a4373,,21660,"[""""tsg_comb/TestSeq005_4-GDDW_000-GD_v13_000-A.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,8,365011,0.0-8.0,5ef4860d22eb1d04bbcd9586,636e2a29b9410d781bec59f3,636e416b3df93bff87689ae2,,38983,"[""""tsg_comb/TestSeq002_1-GDDW_000-SG_000-B.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,14,364893,0.0-14.0,601492777b72a04ce67e2f6d,636e2a29b9410d781bec59f3,636e416ecf447e09e39a43ab,,21005,"[""""tsg_comb/TestSeq003_2-GDDW_000-SG_000-B.mp4""""]",2,2
